"lang"
{
"Language"		"ukrainian"
"[english]Command.co_m5_ob1"		"<clr:240,255,255>Commander: Okay Squad.  I'm picking up major swarm at sewer junction 16."
"Command.co_m5_ob2"		"<clr:240,255,255>Командир: Датчики руху реєструють велику кількість об’єктів у одному зі старих технічних тунелів. Пам’ятайте, ці яйця кишать паразитами. Знищуйте їх здалеку."
"[english]Command.co_m5_ob2"		"<clr:240,255,255>Commander: I'm picking up massive kinetic signatures in one of the old maintenance tunnels.  Remember, these eggs are full of parasites.  Take 'em out on sight."
"Command.co_m5_ob3"		"<clr:240,255,255>Командир: Отже, загоне, на тих стінах сконденсувалася волога. Чудове місце для розмноження паразитів. Стережіться. Якщо паразит причепиться до вас, кличте медика. Краще знищити яйця до того, як паразити вилупляться."
"[english]Command.co_m5_ob3"		"<clr:240,255,255>Commander: Okay Squad.  Moisture's dripping off those walls.  Looks like an ideal breeding ground for swarm parasites.  Keep a sharp eye out.  If you get infested, call a medic.  Your best chance is to destroy the eggs before they pop."
"Command.co_m5_ob4"		"<clr:240,255,255>Командир: Отже, командо, нам необхідно заблокувати вхід до тунелю. Це затримає рій, поки ви просуватиметеся вглиб колонії."
"[english]Command.co_m5_ob4"		"<clr:240,255,255>Commander: Okay, team, we need to seal the tunnel entrance.  This will help keep the swarm off your backs as you move deeper into the colony."
"Command.co_m5_ob5"		"<clr:240,255,255>Командир: Гаразд, загоне. Гадаю, я знайшов для вас короткий шлях. У північно-західній частині стіни є діра. Використайте її, щоби пройти через стіну і дістаньтеся поверхні."
"[english]Command.co_m5_ob5"		"<clr:240,255,255>Commander: Okay, Squad.  I think I've found a shortcut for you.  I'm detecting a breach in the facility's northwest wall.  Move the squad through that breach and regain access to the surface."
"Command.co_m6_ob1"		"<clr:240,255,255>Командир: Добре, бомба попереду!"
"[english]Command.co_m6_ob1"		"<clr:240,255,255>Commander: Alright, the bomb is just up ahead!"
"Command.co_m6_ob2"		"<clr:240,255,255>Командир: Ми виявили нові рухомі об’єкти всюди в цій місцевості. Справи кепські."
"[english]Command.co_m6_ob2"		"<clr:240,255,255>Commander: We've got new kinetic signatures breaking out all across the map. This doesn't look good."
"Command.co_m6_ob3"		"<clr:240,255,255>Командир: Гаразд, ось бомба! Використайте рейкову систему шахти, щоби доправити її до гнізда. Пам’ятайте, ви не маєте права на поразку в цьому бою. Ми очистимо цю колонію так, що й молекули ворожої не залишиться."
"[english]Command.co_m6_ob3"		"<clr:240,255,255>Commander: Alright, there's the bomb!  You'll need to use the mine's rail system to get that thing into the nest.  Remember, losing this fight is not an option. We're gonna sterilize this rock right down to its bare molecules."
"Command.co_m6_ob4"		"<clr:240,255,255>Командир: Добре, для початку необхідно перезапустити енергетичну підстанцію, від якої живиться фунікулер. Тоді боєголовка почне рухатися до гнізда."
"[english]Command.co_m6_ob4"		"<clr:240,255,255>Commander: Okay, first thing's first.  You need to reactivate the power substation for the cable railway.  This'll start the warhead on its path toward the breeding chamber."
"Command.co_m6_ob5"		"<clr:240,255,255>Командир: Добре, там є двоє дверей, які вам необхідно відкрити, щоби доправити боєголовку до цілі. Відчиніть їх."
"[english]Command.co_m6_ob5"		"<clr:240,255,255>Commander: Alright, there are two doors that you're going to need to hack to move the warhead into position.  Get 'em open."
"Command.co_m6_ob6"		"<clr:240,255,255>Командир: Щойно боєголовка буде на позиції, активуйте детонатор. Після цього вам необхідно повернутися на поверхню і дістатися вашої зони висадки."
"[english]Command.co_m6_ob6"		"<clr:240,255,255>Commander: Once the warhead is in position, activate the detonation sequence.  After that, you're gonna need to back-track your way up to the surface to reach your extraction zone."
"Command.co_m6_ob7"		"<clr:240,255,255>Командир: Увага, загоне, годинник цокає. Вам НЕ захочеться тут бути, коли все почнеться. Повірте мені, це зіпсує вам увесь день."
"[english]Command.co_m6_ob7"		"<clr:240,255,255>Commander: Alright squad, the clock is ticking.  You do NOT want to be there when that device goes off.  Trust me, it would ruin your whole day."
"Command.co_m6_ob8"		"<clr:240,255,255>Командир: Біжіть по тому ж шляху, яким сюди прийшли! Ми заберемо вас на поверхні!"
"[english]Command.co_m6_ob8"		"<clr:240,255,255>Commander: Head out the same way you came!  We'll pick you up on the surface!"
"Command.co_m6_ob9"		"<clr:240,255,255>Командир: Ей, бандо, зберіться, вам треба набрати обертів."
"[english]Command.co_m6_ob9"		"<clr:240,255,255>Commander: Gang, you need to be high speed, low drag on this operation."
"Command.co_m6_ob10"		"<clr:240,255,255>Командир: Час закінчується! Вам треба поквапитися."
"[english]Command.co_m6_ob10"		"<clr:240,255,255>Commander: Time is running out!  You've got to pick up the pace."
"Command.co_m6_ob11"		"<clr:240,255,255>Командир: Покваптеся. Час майже сплинув."
"[english]Command.co_m6_ob11"		"<clr:240,255,255>Commander: You need to hustle.  You're almost out of time."
"Command.co_m6_ob12"		"<clr:240,255,255>Командир: Піхотинці, біжіть так, ніби від цього залежать ваші життя. Бо ж так воно і є!"
"[english]Command.co_m6_ob12"		"<clr:240,255,255>Commander: Squad, you need to run like your lives depend on it.  'Cuz they do!"
"Command.co_m6_ob13"		"<clr:240,255,255>Командир: Часу залишилося дуже мало."
"[english]Command.co_m6_ob13"		"<clr:240,255,255>Commander: There's not much time left."
"Command.co_m6_ob14"		"<clr:240,255,255>Командир: У вас закінчується час!"
"[english]Command.co_m6_ob14"		"<clr:240,255,255>Commander: You're running out of time!"
"Command.co_m6_ob15"		"<clr:240,255,255>Командир: Збільшіть темп, інакше ви не встигнете!"
"[english]Command.co_m6_ob15"		"<clr:240,255,255>Commander: Pick up the pace, or you're not going to make it!"
"Command.co_m6_ob16"		"<clr:240,255,255>Командир: Піхотинці, вибирайтеся звідти, НЕГАЙНО!"
"[english]Command.co_m6_ob16"		"<clr:240,255,255>Commander: Squad, you need to get out of there, NOW!"
"Command.co_m6_ob17"		"<clr:240,255,255>Командир: Лишилося десять секунд!"
"[english]Command.co_m6_ob17"		"<clr:240,255,255>Commander: Ten seconds left!"
"Command.co_m6_ob18"		"<clr:240,255,255>Командир: У вас майже вийшло."
"[english]Command.co_m6_ob18"		"<clr:240,255,255>Commander: You almost made it."
"Command.co_m6_ob19"		"<clr:240,255,255>Командир: Мені шкода. Я повідомлю ваших родичів."
"[english]Command.co_m6_ob19"		"<clr:240,255,255>Commander: I'm sorry.  I'll notify your next of kin."
"Command.co_m6_ob20"		"<clr:240,255,255>Командир: Служити з вами було честю. Вас будуть пам’ятати."
"[english]Command.co_m6_ob20"		"<clr:240,255,255>Commander: It was an honor serving with you.  You will be remembered."
"Command.co_m6_ob21"		"<clr:240,255,255>Командир: Служити з кожним із вас було честю. Ви пожертвували найголовнішим."
"[english]Command.co_m6_ob21"		"<clr:240,255,255>Commander: It was an honor to serve with each and every one of you.  You made the ultimate sacrifice."
"Command.co_m6_ob22"		"<clr:240,255,255>Командир: Добра робота, місію виконано!"
"[english]Command.co_m6_ob22"		"<clr:240,255,255>Commander: Good work, mission accomplished!"
"Command.co_m6_ob23"		"<clr:240,255,255>Командир: Місію виконано!"
"[english]Command.co_m6_ob23"		"<clr:240,255,255>Commander: Mission accomplished!"
"Command.co_m6_ob24"		"<clr:240,255,255>Командир: Ви зробили це! Бомба виконала своє завдання! Загроза з боку рою ліквідована."
"[english]Command.co_m6_ob24"		"<clr:240,255,255>Commander: You did it!  The bomb's gone off!  The Swarm threat has been exterminated."
		"Command.co_m6_ob25"		"<clr:240,255,255>Commander: The nuke is blocked! Clear up the biomass to free it up!"
		"[english]Command.co_m6_ob25"		"<clr:240,255,255>Commander: The nuke is blocked! Clear up the biomass to free it up!"
		"Command.co_m6_ob26"		"<clr:240,255,255>Commander: Landing pads overun! Bloodhound's coming in! Jump on our back and we'll get you out of there!"
		"[english]Command.co_m6_ob26"		"<clr:240,255,255>Commander: Landing pads overun! Bloodhound's coming in! Jump on our back and we'll get you out of there!"
		"Command.co_m6_ob27"		"<clr:240,255,255>Commander: Yeah! We made it!"
		"[english]Command.co_m6_ob27"		"<clr:240,255,255>Commander: Yeah! We made it!"
"Command.co_hold_ob1"		"<clr:240,255,255>Командир: Добре, загоне, ви дісталися зони евакуації. Командирський корабель уже на підході. Просто протримайтеся до мого прибуття. "
"[english]Command.co_hold_ob1"		"<clr:240,255,255>Commander: Alright, squad, you made it to the extraction zone.  Command ship is inbound.  You just need to hold out until I get there."
"Command.co_hold_ob2"		"<clr:240,255,255>Командир: Майже на місці."
"[english]Command.co_hold_ob2"		"<clr:240,255,255>Commander: Almost there, squad."
"Command.co_hold_ob3"		"<clr:240,255,255>Командир: Тримайтеся, загоне. Я прямую до вас!"
"[english]Command.co_hold_ob3"		"<clr:240,255,255>Commander: Hang in there, squad.  I'm on my way!"
"Command.co_hold_ob4"		"<clr:240,255,255>Командир: Підлітаю!"
"[english]Command.co_hold_ob4"		"<clr:240,255,255>Commander: Coming in hot!"
"Command.co_debriefing_ob1"		"<clr:240,255,255>Командир: Завдання виконано! Чудова робота, піхотинці."
"[english]Command.co_debriefing_ob1"		"<clr:240,255,255>Commander: Objective completed!  Good work, marines."
"Command.co_debriefing_ob2"		"<clr:240,255,255>Командир: Аналіз бортового самописця рятувальної капсули показує, що декілька суден успішно подолали орбіту і покинули Вереон XII. Схоже на те, що це невелика група службовців і колоністів «СінТек»."
"[english]Command.co_debriefing_ob2"		"<clr:240,255,255>Commander: Analysis of the flight recorder from the escape pod shows a number of vessels did successfully break orbit and leave Vereon XII.  Looks like a handful of SynTek officers and colonists."
"Command.co_debriefing_ob3"		"<clr:240,255,255>Командир: Також ми виявили невеликий контейнер, який успішно подолав атмосферу без трансляції ідентифікаційних кодів. Усі дані про траекторію та запуск цього судна були кимось зашифровані. Ми відправили кораблі-розвідники, щоби дослідити його зблизька, але враховуючи його розміри і невідому траекторію, шанси знайти його — мізерні."
"[english]Command.co_debriefing_ob3"		"<clr:240,255,255>Commander: We also show a small container left the atmosphere without broadcasting ID codes.  All launch data for this vessel has been scrambled by persons unknown.  We've dispatched scout vessels to search the immediate vicinity, but given its size and the unknown trajectory, the chances of finding it are slim."
"Command.co_debriefing_ob4"		"<clr:240,255,255>Командир: Усі повинні бути на платформі ліфта до його активації."
"[english]Command.co_debriefing_ob4"		"<clr:240,255,255>Commander: Everybody has to be on that lift before it'll activate."
"Command.co_debriefing_ob5"		"<clr:240,255,255>Командир: Загоне, ви чудово попрацювали над знищенням трубопровода. Це дасть змогу запобігти будь-яким масовим витокам рою поза межі колонії."
"[english]Command.co_debriefing_ob5"		"<clr:240,255,255>Commander: Good work destroying the pipeline, Squad.  This should hinder Swarm movement within the colony."
"Command.co_debriefing_ob6"		"<clr:240,255,255>Командир: Реактор знову запущений і працює на повну потужність. Чудова робота!"
"[english]Command.co_debriefing_ob6"		"<clr:240,255,255>Commander: We are showing the reactor back up and running at full efficiency. Great job!"
"Command.co_debriefing_ob7"		"<clr:240,255,255>Командир: Отримані вами записи в журналі свідчать, що працівники служби безпеки SynTek робили спроби зупинити зараження. Судячи з теперішньої ситуації, їхній задум провалився."
"[english]Command.co_debriefing_ob7"		"<clr:240,255,255>Commander: The data you recovered shows a number of SynTek Security personnel attempted to fight back the infestation.  We can assume at this point that they were unsuccessful."
"Command.co_debriefing_ob8"		"<clr:240,255,255>Командир: Після блокування тунелю, що вів із колектору назовні, у рою залишився тільки один шлях на поверхню."
"[english]Command.co_debriefing_ob8"		"<clr:240,255,255>Commander: With the sewer access tunnel sealed, the Swarm have only one way to the surface."
"Command.co_debriefing_ob9"		"<clr:240,255,255>Командир: Чудова робота, загоне. Термоядерний пристрій, який підірвала ваша команда, знищив більшу частину рою під землею. За нашими оцінками близько 200 яєць та незліченну кількість дронів рою було знищено вибухом."
"[english]Command.co_debriefing_ob9"		"<clr:240,255,255>Commander: Excellent work, Commander.  The thermonuclear device detonated by your squad has destroyed the bulk of the Swarm forces beneath the surface.  We estimate in excess of 200 eggs and countless Swarm drones have been wiped out by the detonation."
"Command.co_debriefing_ob10"		"<clr:240,255,255>Командир: Ми все ще реєструємо велике джерело тепла в підземній, добре захищеній камері. Командування МЗС дослідить цю проблему першочергово."
"[english]Command.co_debriefing_ob10"		"<clr:240,255,255>Commander: We are still detecting a single large heat source in a deep, well protected chamber.  IAF Command is making investigation of this a priority."
"bastille.SynUpReply0"		"<clr:205,127,50>Бастиль: Тобі не захочеться сьорбнути цього лайна, повір мені."
"[english]bastille.SynUpReply0"		"<clr:205,127,50>Bastille: You don't wanna drink that shit, believe me."
"bastille.CrashComplainReply0"		"<clr:205,127,50>Бастиль: Можливо, тобі варто доповісти про нервовий зрив."
"[english]bastille.CrashComplainReply0"		"<clr:205,127,50>Bastille: Maybe you should report a nervous breakdown."
"bastille.MedicComplainReply0"		"<clr:205,127,50>Бастиль: Та облиш, у тебе поранення такі ж, як у мене."
"[english]bastille.MedicComplainReply0"		"<clr:205,127,50>Bastille: Oh come on, you get injured just as much as I do."
"bastille.MedicComplain0"		"<clr:205,127,50>Бастиль: Може натомість перестанеш по мені стріляти?"
"[english]bastille.MedicComplain0"		"<clr:205,127,50>Bastille: Can't you not get hurt for a change?"
"bastille.MedicComplain1"		"<clr:205,127,50>Бастиль: Навіщо ти поліз до них так близько?"
"[english]bastille.MedicComplain1"		"<clr:205,127,50>Bastille: Now why do you get so close to them?"
"bastille.HealingCrashReply0"		"<clr:205,127,50>Бастиль: Я прибережу їх на той випадок, коли тебе дійсно поранять."
"[english]bastille.HealingCrashReply0"		"<clr:205,127,50>Bastille: I'm saving them for when you really get hurt."
"bastille.HealingCrash0"		"<clr:205,127,50>Бастиль: Стійте."
"[english]bastille.HealingCrash0"		"<clr:205,127,50>Bastille: Steady now."
"bastille.TequilaReply0"		"<clr:205,127,50>Бастиль: Я з цим уже давно зав’язав."
"[english]bastille.TequilaReply0"		"<clr:205,127,50>Bastille: I gave up that stuff a long time ago."
"bastille.CrashIdleReply0"		"<clr:205,127,50>Бастиль: Намагаюся врятувати твою нікчемну дупу."
"[english]bastille.CrashIdleReply0"		"<clr:205,127,50>Bastille: Trying to keep your sorry ass alive."
"bastille.InjuredSelection0"		"<clr:205,127,50>Бастиль: Ми вже йдемо?"
"[english]bastille.InjuredSelection0"		"<clr:205,127,50>Bastille: Are we leaving?"
"bastille.InjuredSelection1"		"<clr:205,127,50>Бастиль: Вони продовжують сунути!"
"[english]bastille.InjuredSelection1"		"<clr:205,127,50>Bastille: They just keep coming!"
"bastille.InjuredSelection2"		"<clr:205,127,50>Бастиль: Це місце котиться у пекло!"
"[english]bastille.InjuredSelection2"		"<clr:205,127,50>Bastille: This whole place is getting to hell!"
"bastille.InjuredSelection3"		"<clr:205,127,50>Бастиль: Це місце котиться у пекло!"
"[english]bastille.InjuredSelection3"		"<clr:205,127,50>Bastille: This whole place is getting to hell!"
"bastille.InjuredSelection4"		"<clr:205,127,50>Бастиль: Що тобі треба зараз?"
"[english]bastille.InjuredSelection4"		"<clr:205,127,50>Bastille: What do you want now?"
"bastille.SeriousInjuryReply0"		"<clr:205,127,50>Бастиль: Гаразд, як скажеш."
"[english]bastille.SeriousInjuryReply0"		"<clr:205,127,50>Bastille: All right, if you say so."
"bastille.SeriousInjuryFollowUp0"		"<clr:205,127,50>Бастиль: Без викрутасів, гаразд?"
"[english]bastille.SeriousInjuryFollowUp0"		"<clr:205,127,50>Bastille: I don't want any stunts, ok?"
"bastille.SeriousInjuryFollowUp1"		"<clr:205,127,50>Бастиль: Просто розслабся, кажу як лікар."
"[english]bastille.SeriousInjuryFollowUp1"		"<clr:205,127,50>Bastille: Just take it easy, doctor's orders."
"bastille.SeriousInjury0"		"<clr:205,127,50>Бастиль: Будь обережним, рана може знову відкритися."
"[english]bastille.SeriousInjury0"		"<clr:205,127,50>Bastille: Be careful, the wound might still open."
"bastille.SeriousInjury1"		"<clr:205,127,50>Бастиль: Хороші новини, ти не береш участь у наступній місії."
"[english]bastille.SeriousInjury1"		"<clr:205,127,50>Bastille: Good news, you're off the next mission."
"bastille.StillBreathingReply0"		"<clr:205,127,50>Бастиль: Ти знаєш, що можеш отримати професійну допомогу?"
"[english]bastille.StillBreathingReply0"		"<clr:205,127,50>Bastille: You know you can get counseling for that, right?"
"bastille.Use0"		"<clr:205,127,50>Бастиль: Безперечно."
"[english]bastille.Use0"		"<clr:205,127,50>Bastille: Absolutely."
"bastille.Use1"		"<clr:205,127,50>Бастиль: Звичайно."
"[english]bastille.Use1"		"<clr:205,127,50>Bastille: But of course."
"bastille.Use2"		"<clr:205,127,50>Бастиль: Гарна думка."
"[english]bastille.Use2"		"<clr:205,127,50>Bastille: Good thinking."
"bastille.Use3"		"<clr:205,127,50>Бастиль: Негайно."
"[english]bastille.Use3"		"<clr:205,127,50>Bastille: Immediatement."
"bastille.Use4"		"<clr:205,127,50>Бастиль: Ві."
"[english]bastille.Use4"		"<clr:205,127,50>Bastille: Oui."
"bastille.Use5"		"<clr:205,127,50>Бастиль: Ві."
"[english]bastille.Use5"		"<clr:205,127,50>Bastille: Oui."
"bastille.Use6"		"<clr:205,127,50>Бастиль: Ві."
"[english]bastille.Use6"		"<clr:205,127,50>Bastille: Oui."
"bastille.Use7"		"<clr:205,127,50>Бастиль: Зрозумів."
"[english]bastille.Use7"		"<clr:205,127,50>Bastille: Understood."
"bastille.Use8"		"<clr:205,127,50>Бастиль: Так, сер."
"[english]bastille.Use8"		"<clr:205,127,50>Bastille: Yes, sir."
"bastille.Use9"		"<clr:205,127,50>Бастиль: Так, сер."
"[english]bastille.Use9"		"<clr:205,127,50>Bastille: Yes, sir."
"bastille.Use10"		"<clr:205,127,50>Бастиль: Так, сер."
"[english]bastille.Use10"		"<clr:205,127,50>Bastille: Yes, sir."
"bastille.Idle0"		"<clr:205,127,50>Бастиль: Обережно, вони можуть бути де завгодно."
"[english]bastille.Idle0"		"<clr:205,127,50>Bastille: Careful, they could be anywhere."
"bastille.Idle1"		"<clr:205,127,50>Бастиль: Ви чули цей звук?"
"[english]bastille.Idle1"		"<clr:205,127,50>Bastille: Did you hear that noise?"
"bastille.Idle2"		"<clr:205,127,50>Бастиль: Якби я знав, то лишився би вдома."
"[english]bastille.Idle2"		"<clr:205,127,50>Bastille: If I knew, I would've stayed home."
"bastille.Idle3"		"<clr:205,127,50>Бастиль: Тихіше."
"[english]bastille.Idle3"		"<clr:205,127,50>Bastille: Keep quiet."
"bastille.Idle4"		"<clr:205,127,50>Бастиль: Так, все тихо, відкорковуйте Бордо."
"[english]bastille.Idle4"		"<clr:205,127,50>Bastille: Now it's quiet, open a Bordeux."
"bastille.Idle5"		"<clr:205,127,50>Бастиль: Чудово, тепер я щось чую."
"[english]bastille.Idle5"		"<clr:205,127,50>Bastille: Great, now I'm hearing things."
"bastille.Idle6"		"<clr:205,127,50>Бастиль: Мені тут не подобається."
"[english]bastille.Idle6"		"<clr:205,127,50>Bastille: I don't like it down here."
"bastille.Idle7"		"<clr:205,127,50>Бастиль: Якщо пощастить, то рани загояться, коли ми прокинемося після кріосну."
"[english]bastille.Idle7"		"<clr:205,127,50>Bastille: If we're lucky the wounds will be healed when we wake up from cryosleep."
